bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.557415723800659;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.49520754814148;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.488488435745239;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.4915313720703125;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.486664533615112;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.584048509597778;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.532974481582642;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.510249376296997;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.500532388687134;native;No Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.nz23fbna/in_64K.txt /tmp/parsec.blackscholes.nz23fbna/prices.txt;seconds;0;4.415120363235474;native;No Fences const:simlarge:4
