bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.5515310764312744;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.539682388305664;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.562660217285156;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.716570377349853;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.558730363845825;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.610464334487915;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.738754272460937;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.559359550476074;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.605075120925904;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.6322944164276123;native;No Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.kvpffws1/in_64K.txt /tmp/parsec.blackscholes.kvpffws1/prices.txt;seconds;0;2.625845193862915;native;No Fences:simlarge:4
