bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.437976598739624;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.4482972621917725;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.577025651931763;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.503784418106079;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.455512285232544;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.481317520141602;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.542998552322388;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.55363655090332;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.521679162979126;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.557326555252075;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.461533308029175;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.474173307418823;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.538445711135864;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.462442398071289;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.56123948097229;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.634019613265991;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.608506441116333;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.456401586532593;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.571917295455933;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.4whrreii/in_64K.txt /tmp/parsec.blackscholes.4whrreii/prices.txt;seconds;0;4.744441509246826;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.64632987976074;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.38381767272949;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.45762658119202;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.53770542144776;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.66431975364685;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.45950889587402;native;SW Fences:simlarge:4
parsec.bodytrack;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/bodytrack/inst/amd64-linux.gcc/bin/bodytrack /tmp/parsec.bodytrack.ftaq3y67/sequenceB_4 4 4 4000 5 0 4;seconds;0;36.45638346672058;native;SW Fences:simlarge:4
