bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.81849813461304;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.752224922180176;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.646345138549805;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.564874172210693;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.814701080322266;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.49616003036499;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.272192001342773;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;21.700023889541622;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;22.18811321258545;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.w7jenuhp/corel lsh /tmp/parsec.ferret.w7jenuhp/queries 10 20 4 /tmp/parsec.ferret.w7jenuhp/output.txt;seconds;0;22.49081516265869;native;none
