bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.255310773849487;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.3638699054718;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;18.90419101715088;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;18.93738579750061;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.055343866348267;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.22723889350891;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.01131582260132;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;18.79108691215515;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;19.05978298187256;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.r5agby4y/in_300K.fluid /tmp/parsec.fluidanimate.r5agby4y/out.fluid;seconds;0;18.85439109802246;native;none
