bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.81012606620789;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.97191786766052;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.536359786987305;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.725589752197266;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.61563181877136;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.46861481666565;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.549930810928345;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;21.98032808303833;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.38924813270569;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.78740096092224;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.68195676803589;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.445124864578247;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.62064290046692;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.545603036880493;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;19.016021013259888;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.411852836608887;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.523939847946167;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.590853929519653;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.53678703308105;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.jtlulkk4/in_300K.fluid /tmp/parsec.fluidanimate.jtlulkk4/out.fluid;seconds;0;18.432267665863037;native;none
