bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.5588293075561523;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.5654993057250977;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.569465398788452;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.620037078857422;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6341781616210938;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6413261890411377;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6430752277374268;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.610953092575073;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.583937168121338;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.621359348297119;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.647289037704468;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6336450576782227;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6281864643096924;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.5829081535339355;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.7039132118225098;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.602429151535034;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6388423442840576;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.5820794105529785;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.627448320388794;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.p6ohfhug/in_64K.txt /tmp/parsec.blackscholes.p6ohfhug/prices.txt;seconds;0;2.6485211849212646;native;none
