bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.943989515304564;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.891084671020508;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.805951356887816;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.872480630874634;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.457515478134155;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.475278615951538;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;15.001802444458008;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.832900285720823;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.595328330993652;native;none
parsec.ferret;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/ferret/inst/amd64-linux.gcc/bin/ferret /tmp/parsec.ferret.r6nyvlor/corel lsh /tmp/parsec.ferret.r6nyvlor/queries 10 20 4 /tmp/parsec.ferret.r6nyvlor/output.txt;seconds;0;14.294392347335815;native;none
