bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.49088454246521;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.48086142539978;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.469484329223633;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.539594411849976;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.5731353759765625;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.504342555999756;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.470229625701904;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.454207181930542;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.836888551712036;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.46664023399353;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.428885459899902;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.582294225692749;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.551950454711914;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.600040435791016;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.52843165397644;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.56642746925354;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.541165590286255;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.472835540771484;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.556736469268799;native;none
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.hj9j0jjr/in_64K.txt /tmp/parsec.blackscholes.hj9j0jjr/prices.txt;seconds;0;4.560577392578125;native;none
