bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.522341012954712;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.40575385093689;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.20951199531555;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.33284068107605;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.23371720314026;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.15359592437744;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;21.75831341743469;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.48357915878296;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.48027801513672;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.29392075538636;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.06140685081482;native;none
parsec.fluidanimate;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/fluidanimate/inst/amd64-linux.gcc/bin/fluidanimate 4 5 /tmp/parsec.fluidanimate.61bm2th2/in_300K.fluid /tmp/parsec.fluidanimate.61bm2th2/out.fluid;seconds;0;19.174304008483887;native;none
