bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;51.90545010566712;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;50.52716994285584;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.648552894592285;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;49.58285999298096;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;49.003530979156494;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;49.39405179023743;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;51.15683078765869;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;50.041008949279785;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.685746908187866;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;47.67665362358093;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.186931848526;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;47.55927276611328;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;47.39695167541504;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;47.66272282600403;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;49.1541531085968;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;50.0924129486084;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.20481204986572;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;49.255594968795776;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.16237163543701;native;none
parsec.streamcluster;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/kernels/streamcluster/inst/amd64-linux.gcc/bin/streamcluster 10 20 128 16384 16384 1000 none /tmp/parsec.streamcluster.mb3u7l70/output.txt 4;seconds;0;48.00120306015015;native;none
