bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.31782841682434;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.06588649749756;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.130606651306152;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.162622451782227;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.22391176223755;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.09479331970215;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.104106426239014;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.104357719421387;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.192441701889038;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.192208766937256;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.079365730285645;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.uvh0ei6s/bigben_2662x5500.v /tmp/parsec.vips.uvh0ei6s/output.v;seconds;0;16.082220554351807;native;none
