bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.31609582901001;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;7.9943459033966064;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.053987503051758;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.005865573883057;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.002445697784424;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;7.995579719543457;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.006164789199829;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;7.988214731216431;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.088555812835693;native;none
parsec.vips;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/vips/inst/amd64-linux.gcc/bin/vips im_benchmark /tmp/parsec.vips.bpq6k5r6/bigben_2662x5500.v /tmp/parsec.vips.bpq6k5r6/output.v;seconds;0;8.039444923400879;native;none
