bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.4862565994262695;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.558882474899292;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.646514415740967;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.6531946659088135;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.553086519241333;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.47034764289856;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.56210732460022;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.479569435119629;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.701200723648071;native;SW Fences const:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.xf3wgq7g/in_64K.txt /tmp/parsec.blackscholes.xf3wgq7g/prices.txt;seconds;0;4.569676637649536;native;SW Fences const:simlarge:4
