bench;dataset;arch;threads;cmdline;unit;retval;value;runtime;tag
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.5288941860198975;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.475358486175537;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.564368486404419;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.470929384231567;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.571943521499634;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.558447360992432;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.556968688964844;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.566528558731079;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.473904609680176;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.419514417648315;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.522764682769775;native;SW Fences:simlarge:4
parsec.blackscholes;simlarge;x86_64;4;/test/benchmarks-root/parsec-3.0-bins/pkgs/apps/blackscholes/inst/amd64-linux.gcc/bin/blackscholes 4 /tmp/parsec.blackscholes.1dg6bjlg/in_64K.txt /tmp/parsec.blackscholes.1dg6bjlg/prices.txt;seconds;0;4.4766504764556885;native;SW Fences:simlarge:4
